OPN1,OPN2,OPN3,OPN4,AGG1,AGG2,AGG3,AGG4,NEU1,NEU2,NEU3,NEU4,EXT1,EXT2,EXT3,EXT4,CSN1,CSN2,CSN3,CSN4,AGE,GENDER,DENSITY,AVARAGE_TEMP,INVIDUALISM_SCORE,GP_AVG,PERSONALITY
2,5,5,2,1,4,2,5,2,1,1,1,3,5,2,3,5,5,2,4,21,1,3,9.75,80,2,Extroversion
1,2,4,2,3,3,1,2,5,5,1,1,2,1,3,3,5,5,1,2,20,2,3,9.75,80,4,Conscientiousness
1,3,5,3,5,5,4,1,4,5,4,1,4,1,4,5,4,2,5,1,14,2,3,9.75,80,2,Agreeableness
1,4,1,5,3,5,4,5,4,3,3,4,3,3,1,2,2,3,4,1,70,2,3,9.75,80,3,Agreeableness
1,5,2,2,4,2,1,2,5,3,4,2,3,4,2,1,1,1,3,2,33,2,3,9.75,80,2,Neuroticism
4,5,3,1,5,5,2,1,5,4,2,4,3,2,4,5,1,3,4,3,20,2,3,9.75,80,2,Neuroticism
1,5,1,1,3,5,5,1,2,5,4,3,3,2,1,3,4,1,4,2,76,2,3,9.75,80,1,Neuroticism
3,2,1,2,3,4,3,3,5,2,3,3,1,2,5,5,3,4,1,3,19,2,3,9.75,80,4,Neuroticism
5,5,1,1,1,3,5,4,4,1,4,4,5,1,4,3,2,3,5,1,21,2,3,9.75,80,1,Neuroticism
2,4,2,5,5,4,4,4,5,1,2,3,2,2,4,2,1,4,5,3,46,1,3,9.75,80,2,Agreeableness
5,4,5,1,5,4,3,5,3,5,3,3,4,2,2,2,4,5,3,1,16,1,3,9.75,80,3,Openness
5,4,2,4,5,4,5,1,3,5,1,4,3,2,1,3,5,2,1,1,76,1,3,9.75,80,5,Openness
5,2,5,1,4,4,1,4,1,1,2,2,4,1,2,5,1,1,1,2,52,1,3,9.75,80,2,Openness
1,3,4,4,2,2,4,1,4,3,1,4,3,4,4,3,1,2,2,3,38,1,3,9.75,80,2,Extroversion
3,3,5,2,2,5,3,5,3,1,4,4,5,1,2,4,5,1,1,1,24,2,3,9.75,80,5,Agreeableness
4,5,5,1,4,1,3,1,4,5,4,5,2,2,2,3,3,5,5,3,17,2,3,9.75,80,5,Neuroticism
3,3,1,5,2,5,4,5,2,4,4,1,3,2,4,3,3,2,2,5,76,1,3,9.75,80,5,Agreeableness
3,3,3,3,4,4,4,2,1,2,5,5,4,2,5,5,2,5,4,1,80,1,3,9.75,80,3,Agreeableness
1,3,5,3,2,2,3,4,2,4,1,2,5,2,1,1,1,5,3,5,63,1,3,9.75,80,1,Conscientiousness
3,2,4,1,2,4,4,4,2,1,3,1,1,3,5,3,1,2,4,3,36,2,3,9.75,80,5,Agreeableness
1,5,2,1,3,3,1,2,5,4,5,2,3,4,3,3,3,2,4,1,71,1,3,9.75,80,4,Neuroticism
2,3,3,1,3,3,2,5,3,2,2,4,2,1,4,3,1,5,4,4,78,1,3,9.75,80,1,Neuroticism
1,1,5,3,3,1,2,2,4,1,5,5,2,4,5,4,1,1,4,2,53,1,3,9.75,80,1,Neuroticism
2,2,4,1,5,5,5,2,3,2,3,3,5,3,5,1,2,4,3,5,13,2,3,9.75,80,1,Agreeableness
4,4,3,5,4,5,4,3,5,2,3,5,4,1,5,5,1,1,4,2,41,1,3,9.75,80,4,Openness
3,3,2,2,5,2,4,3,3,2,3,5,2,4,4,2,4,5,1,1,80,1,3,9.75,80,5,Neuroticism
5,2,5,4,4,4,4,2,4,3,5,2,2,3,2,1,2,3,3,5,23,1,3,9.75,80,1,Openness
4,3,4,3,4,3,4,5,1,5,1,5,2,1,2,5,2,3,2,1,55,2,3,9.75,80,2,Agreeableness
3,3,1,1,5,1,3,2,5,2,5,4,5,4,4,1,3,2,4,3,30,1,3,9.75,80,3,Neuroticism
4,5,4,5,1,1,2,2,5,2,5,2,4,4,2,1,1,1,5,5,21,2,3,9.75,80,1,Neuroticism
2,1,2,1,5,4,5,3,3,1,5,1,5,3,3,5,2,4,1,3,42,2,3,9.75,80,4,Agreeableness
1,5,3,5,3,1,4,1,4,4,3,5,3,3,3,1,5,1,2,4,44,1,3,9.75,80,1,Neuroticism
3,3,4,3,2,3,1,1,2,4,4,4,2,2,2,5,3,2,3,3,77,1,3,9.75,80,2,Neuroticism
1,3,4,2,4,4,4,4,1,5,2,1,3,3,2,1,4,2,5,3,15,1,3,9.75,80,4,Conscientiousness
2,4,3,4,2,2,1,2,4,4,1,1,4,3,5,5,5,3,2,4,13,2,3,9.75,80,3,Extroversion
4,4,3,5,2,2,2,1,1,1,1,3,3,3,2,3,5,1,4,2,29,1,3,9.75,80,3,Openness
4,4,3,5,4,5,1,1,4,1,5,2,2,4,4,5,4,3,2,2,44,1,3,9.75,80,5,Extroversion
1,4,2,1,3,3,5,3,2,4,2,1,2,1,4,3,5,2,5,3,72,2,3,9.75,80,5,Conscientiousness
5,2,1,1,5,2,4,3,5,3,2,1,3,2,3,1,2,3,4,1,51,2,3,9.75,80,2,Agreeableness
4,5,4,4,3,1,3,2,1,5,2,2,4,2,2,4,2,4,2,1,37,2,3,9.75,80,2,Openness
3,3,4,1,4,1,5,1,1,3,2,5,5,2,3,1,3,2,1,3,37,1,3,9.75,80,3,Openness
4,5,4,1,5,1,2,1,2,4,1,2,2,5,5,3,3,5,3,5,62,1,3,9.75,80,5,Conscientiousness
1,5,1,2,5,1,2,1,2,1,1,4,4,4,2,5,2,1,4,4,71,2,3,9.75,80,5,Extroversion
2,5,5,5,2,2,2,1,1,3,4,1,4,5,2,1,2,5,2,1,15,2,3,9.75,80,2,Openness
4,4,5,1,4,1,1,3,4,2,2,1,1,3,5,4,1,2,4,2,76,1,3,9.75,80,4,Extroversion
1,1,4,5,5,5,5,3,1,4,1,3,4,1,2,1,1,3,5,5,40,2,3,9.75,80,1,Agreeableness
2,1,4,3,3,3,1,5,1,4,1,5,4,3,1,1,1,2,4,1,80,1,3,9.75,80,4,Neuroticism
2,1,2,5,2,1,3,2,3,2,5,5,5,1,1,1,3,4,1,5,76,2,3,9.75,80,1,Neuroticism
1,1,1,2,4,2,3,5,5,5,2,1,4,5,2,3,3,2,5,5,12,2,3,9.75,80,2,Neuroticism
3,4,2,1,5,1,1,5,2,2,5,1,4,1,4,2,4,4,2,1,30,2,3,9.75,80,3,Agreeableness
4,3,2,4,5,2,5,4,4,3,2,2,1,5,2,5,3,3,5,2,30,2,3,9.75,80,3,Agreeableness
3,4,1,3,3,4,4,5,1,2,2,4,4,2,5,3,1,2,2,1,50,2,3,9.75,80,3,Agreeableness
3,3,5,4,5,1,4,4,5,4,4,1,4,2,1,4,2,3,5,4,26,2,3,9.75,80,5,Conscientiousness
5,5,4,3,1,1,1,4,2,1,1,4,3,1,3,2,3,5,4,1,54,1,3,9.75,80,2,Openness
4,3,5,4,2,5,2,1,3,3,5,4,2,2,5,1,3,4,2,2,31,2,3,9.75,80,1,Neuroticism
4,3,5,4,1,4,4,2,4,5,5,5,2,5,3,4,3,1,3,1,64,1,3,9.75,80,5,Neuroticism
1,4,1,4,4,1,2,2,3,2,4,4,4,5,3,5,1,5,3,3,51,1,3,9.75,80,5,Extroversion
3,5,5,3,2,5,3,5,2,2,1,2,5,1,5,4,5,4,2,5,68,2,3,9.75,80,2,Agreeableness
5,5,1,5,4,5,2,1,2,3,3,1,1,3,1,1,5,5,5,4,65,2,3,9.75,80,5,Conscientiousness
5,2,1,5,2,5,3,3,4,5,1,5,3,3,3,3,4,5,4,1,72,1,3,9.75,80,1,Neuroticism
1,3,1,4,4,2,1,4,5,5,5,3,2,5,5,2,5,1,4,3,73,2,3,9.75,80,5,Neuroticism
3,3,2,2,5,4,4,5,3,5,3,1,4,2,1,3,2,4,4,3,80,1,3,9.75,80,3,Agreeableness
5,4,2,2,3,2,2,3,1,4,2,4,4,3,5,1,4,4,2,1,19,1,3,9.75,80,4,Extroversion
3,5,1,2,3,1,4,1,1,3,3,1,1,4,5,4,4,4,1,1,18,1,3,9.75,80,4,Extroversion
1,3,4,2,4,3,2,3,2,3,2,4,2,5,4,1,4,2,5,5,21,2,3,9.75,80,2,Conscientiousness
2,1,5,2,2,5,5,2,1,1,1,5,4,5,3,1,4,3,2,3,45,1,3,9.75,80,2,Agreeableness
3,5,1,4,4,3,2,4,1,1,4,3,4,1,5,3,1,2,2,4,48,1,3,9.75,80,1,Openness
1,3,1,4,2,3,3,3,3,2,1,2,3,3,3,5,5,4,2,5,28,2,3,9.75,80,4,Conscientiousness
3,2,1,2,3,2,4,3,3,2,3,3,1,4,4,2,2,5,5,2,12,1,3,9.75,80,1,Conscientiousness
5,5,4,1,2,4,5,3,3,5,5,5,4,2,5,4,4,3,5,1,32,2,3,9.75,80,3,Neuroticism
3,5,1,1,1,4,2,1,5,5,3,1,5,1,5,2,5,1,2,5,70,1,3,9.75,80,3,Neuroticism
1,5,5,2,2,4,4,4,5,5,5,3,1,3,2,5,3,3,5,5,76,2,3,9.75,80,5,Neuroticism
3,5,2,4,4,5,2,5,2,1,1,5,4,2,3,3,5,2,4,2,19,2,3,9.75,80,4,Agreeableness
4,4,5,2,4,4,5,1,1,4,4,1,3,2,4,2,4,3,5,1,57,2,3,9.75,80,4,Agreeableness
4,3,3,5,4,5,5,2,3,2,4,3,4,4,3,4,3,4,5,4,21,1,3,9.75,80,3,Openness
3,3,3,2,3,3,4,2,2,5,5,3,3,5,1,1,1,2,4,5,59,2,3,9.75,80,3,Neuroticism
2,3,4,2,1,1,3,5,5,2,4,1,5,3,4,4,1,3,3,1,24,2,3,9.75,80,4,Extroversion
3,1,4,2,4,3,4,4,1,1,3,1,4,4,4,4,2,2,5,1,31,2,3,9.75,80,5,Agreeableness
5,2,3,4,5,4,4,3,5,4,2,5,5,2,2,5,1,4,1,2,39,1,3,9.75,80,3,Agreeableness
4,1,5,3,3,2,4,5,4,5,5,2,1,1,3,2,2,3,1,3,51,2,3,9.75,80,3,Neuroticism
4,5,2,3,4,2,2,3,5,5,2,1,3,3,3,3,3,1,3,3,70,1,3,9.75,80,3,Neuroticism
3,5,3,4,4,5,3,2,2,3,1,4,5,4,5,2,3,4,5,2,54,1,3,9.75,80,4,Extroversion
1,4,1,5,4,2,5,1,3,1,4,3,2,1,1,1,2,5,4,2,76,1,3,9.75,80,3,Neuroticism
4,3,5,1,4,3,1,4,4,1,1,4,5,2,1,5,3,1,4,5,40,2,3,9.75,80,4,Conscientiousness
4,5,3,4,1,5,4,3,5,5,5,1,5,2,4,5,1,5,3,1,42,1,3,9.75,80,1,Extroversion
2,4,2,5,5,2,1,5,3,3,2,2,2,1,5,2,3,1,5,3,80,2,3,9.75,80,2,Agreeableness
5,3,3,5,2,5,1,3,3,4,3,5,2,5,5,3,4,4,5,3,53,2,3,9.75,80,1,Neuroticism
5,4,3,1,5,4,2,1,1,4,2,3,3,1,2,2,2,4,3,1,76,1,3,9.75,80,3,Openness
4,2,5,3,1,4,4,1,1,5,5,1,5,2,1,1,4,5,4,2,29,2,3,9.75,80,3,Conscientiousness
5,1,4,1,5,3,2,4,4,1,3,1,4,3,1,2,3,1,3,2,13,2,3,9.75,80,3,Agreeableness
5,4,1,3,5,1,4,2,2,3,5,2,3,1,2,1,5,5,3,5,71,2,3,9.75,80,4,Conscientiousness
3,4,4,4,3,5,4,4,1,2,1,1,4,2,2,5,4,2,4,4,37,1,3,9.75,80,2,Openness
2,5,2,3,5,2,4,3,1,4,2,4,5,1,1,1,4,5,4,1,27,1,3,9.75,80,4,Conscientiousness
1,4,5,1,3,1,4,1,3,2,4,3,3,5,3,4,1,5,4,5,29,1,3,9.75,80,1,Extroversion
3,4,5,4,5,1,2,3,5,1,2,1,4,5,2,2,3,1,3,4,62,1,3,9.75,80,5,Openness
4,1,4,2,3,2,2,4,4,2,4,5,4,3,1,3,2,4,2,3,35,2,3,9.75,80,2,Neuroticism
5,1,1,3,3,3,5,5,3,2,1,2,2,1,2,2,5,4,1,2,76,2,3,9.75,80,2,Agreeableness
3,3,1,2,2,3,3,4,4,5,4,4,3,5,2,5,1,4,5,4,55,2,3,9.75,80,2,Neuroticism
5,3,4,1,5,5,1,1,5,1,1,3,3,3,5,2,1,5,2,1,14,1,3,9.75,80,2,Extroversion
4,3,1,4,4,5,2,4,3,3,2,4,2,4,3,3,4,4,5,1,20,2,3,9.75,80,4,Conscientiousness
1,5,1,2,2,5,2,4,2,4,2,3,4,4,1,3,5,3,5,2,58,2,3,9.75,80,2,Conscientiousness
4,4,4,2,1,1,5,3,5,1,5,2,2,3,4,1,2,2,5,2,24,2,3,9.75,80,2,Neuroticism
3,1,3,3,2,1,5,3,2,5,4,2,3,4,1,1,3,4,1,1,50,1,3,9.75,80,1,Neuroticism
1,4,2,4,5,5,5,1,3,4,2,5,1,1,5,5,5,1,5,1,63,1,3,9.75,80,4,Agreeableness
1,1,3,4,5,1,1,2,1,3,4,4,1,3,5,1,3,4,4,3,46,1,3,9.75,80,2,Conscientiousness
5,1,5,3,5,1,5,4,3,5,1,1,4,2,3,2,3,1,2,4,58,2,3,9.75,80,2,Agreeableness
3,5,2,5,4,2,3,4,1,4,2,2,3,4,4,2,2,5,2,1,21,2,3,9.75,80,5,Openness
5,1,5,1,2,1,4,1,5,2,3,1,1,1,3,4,3,5,4,2,48,1,3,9.75,80,3,Conscientiousness
5,1,5,3,1,5,1,1,4,1,2,2,4,2,1,2,3,5,1,1,53,2,3,9.75,80,2,Openness
1,4,4,5,4,2,5,3,1,5,1,2,3,5,4,5,4,3,2,4,71,2,3,9.75,80,2,Agreeableness
1,5,4,1,5,1,5,3,3,2,2,1,1,5,3,1,1,3,5,1,46,1,3,9.75,80,4,Agreeableness
5,4,5,3,5,5,3,2,1,3,5,5,5,2,3,4,3,5,5,2,70,1,3,9.75,80,2,Openness
2,4,5,2,4,1,5,4,4,3,3,5,3,1,4,5,1,4,3,2,74,2,3,9.75,80,1,Neuroticism
4,2,4,5,1,1,3,5,3,3,4,1,4,4,3,5,5,5,2,5,60,1,3,9.75,80,2,Conscientiousness
1,3,2,3,5,4,4,2,4,1,2,5,3,5,1,5,2,2,2,4,70,1,3,9.75,80,1,Agreeableness
3,5,1,4,5,4,3,1,3,1,3,3,3,3,5,5,2,1,5,1,68,1,3,9.75,80,2,Extroversion
5,3,5,4,2,4,4,3,4,1,3,5,2,5,4,5,3,2,1,4,27,2,3,9.75,80,5,Extroversion
4,2,3,2,3,2,3,5,1,1,2,3,4,2,4,4,3,4,1,3,53,1,3,9.75,80,2,Agreeableness
1,4,5,4,2,5,4,3,1,5,1,2,4,1,5,2,2,3,2,3,79,1,3,9.75,80,4,Openness
3,5,3,4,5,3,4,1,4,4,5,2,5,1,5,4,1,2,4,2,63,1,3,9.75,80,4,Extroversion
4,1,5,1,5,5,2,2,5,4,1,1,2,3,1,4,2,3,1,3,26,2,3,9.75,80,2,Agreeableness
4,1,2,4,5,5,2,5,2,3,2,3,4,4,5,4,3,3,3,1,35,1,3,9.75,80,1,Agreeableness
4,4,1,5,5,1,1,1,4,2,2,5,1,5,1,3,5,1,5,4,12,1,3,9.75,80,4,Conscientiousness
2,1,2,2,2,1,5,4,2,1,3,3,3,3,4,4,2,3,3,2,62,1,3,9.75,80,3,Agreeableness
3,3,3,3,4,3,4,1,2,3,1,2,1,4,5,3,5,5,4,3,62,2,3,9.75,80,4,Conscientiousness
4,3,3,3,5,5,3,1,5,1,4,3,2,3,4,1,5,1,1,1,60,2,3,9.75,80,1,Agreeableness
1,2,4,1,4,5,1,2,4,4,4,1,4,1,1,5,5,2,4,4,50,1,3,9.75,80,2,Conscientiousness
2,3,3,5,5,5,3,4,5,1,1,4,3,3,3,2,3,2,3,3,32,1,3,9.75,80,2,Agreeableness
2,1,1,5,3,2,3,4,4,2,3,3,3,1,1,2,2,4,2,3,17,1,3,9.75,80,1,Neuroticism
4,2,1,3,4,4,1,3,2,5,3,5,5,1,1,5,1,3,4,4,68,2,3,9.75,80,1,Neuroticism
3,4,5,1,3,1,1,2,3,4,4,2,2,1,1,4,5,1,5,3,61,2,3,9.75,80,2,Neuroticism
5,3,3,1,1,3,3,4,2,5,1,2,2,5,3,1,5,2,5,5,23,1,3,9.75,80,1,Conscientiousness
3,5,2,3,3,5,1,2,5,4,5,1,3,4,5,2,2,2,1,2,26,1,3,9.75,80,4,Extroversion
5,3,4,2,3,5,4,2,4,4,2,2,1,1,3,5,3,4,2,4,42,1,3,9.75,80,5,Conscientiousness
5,4,1,4,3,4,4,5,3,4,2,3,1,2,4,2,5,4,2,5,62,1,3,9.75,80,4,Conscientiousness
2,4,1,1,2,5,5,4,2,5,2,3,3,3,4,4,4,3,3,1,68,2,3,9.75,80,4,Agreeableness
5,1,1,4,2,3,3,3,1,4,5,2,4,5,4,1,4,1,4,1,30,2,3,9.75,80,4,Extroversion
2,1,4,2,4,2,1,1,5,5,1,2,3,5,2,2,2,4,5,4,42,2,3,9.75,80,1,Neuroticism
3,2,1,5,1,1,5,1,5,5,3,2,4,5,1,3,1,1,2,3,79,2,3,9.75,80,5,Neuroticism
1,1,3,3,1,5,2,2,2,1,5,5,3,4,4,4,1,5,2,2,49,1,3,9.75,80,2,Extroversion
3,1,2,3,5,4,4,4,1,2,1,3,2,3,3,5,1,1,3,4,49,1,3,9.75,80,4,Agreeableness
5,1,1,4,1,4,5,1,2,1,1,3,1,4,1,3,5,2,4,2,74,1,3,9.75,80,3,Conscientiousness
2,5,2,2,1,5,3,3,2,1,5,2,2,2,4,1,2,3,2,1,61,1,3,9.75,80,4,Agreeableness
5,4,1,2,2,2,5,2,3,2,5,1,4,4,1,3,2,3,1,2,74,1,3,9.75,80,4,Neuroticism
4,3,2,2,4,1,4,3,3,2,4,5,4,5,3,1,4,3,5,2,73,2,3,9.75,80,2,Neuroticism
1,2,4,3,3,2,3,4,1,5,3,5,2,2,4,1,4,3,2,3,38,1,3,9.75,80,2,Neuroticism
2,4,3,2,4,3,4,2,1,4,5,1,4,3,1,3,5,4,5,4,51,1,3,9.75,80,5,Conscientiousness
5,3,2,2,1,1,1,5,1,3,2,2,1,2,3,4,1,1,4,4,27,2,3,9.75,80,1,Openness
1,3,1,5,3,5,2,3,4,2,1,5,5,3,4,1,4,3,2,3,65,2,3,9.75,80,2,Agreeableness
5,3,3,4,1,5,1,4,5,4,5,5,1,5,4,1,3,2,3,4,32,1,3,9.75,80,2,Neuroticism
3,3,5,3,1,4,1,3,4,4,4,5,2,1,5,1,2,4,2,4,57,2,3,9.75,80,5,Neuroticism
2,5,3,1,4,5,3,2,1,4,2,5,4,1,2,1,3,4,4,2,70,2,3,9.75,80,1,Neuroticism
3,3,4,1,3,2,1,5,1,3,5,5,4,4,3,2,4,4,4,5,75,2,3,9.75,80,3,Neuroticism
5,4,4,5,1,2,5,1,3,2,1,1,2,2,3,2,5,3,2,2,30,1,3,9.75,80,1,Openness
2,1,4,2,2,1,5,3,5,5,2,5,2,3,1,1,3,3,5,5,45,1,3,9.75,80,5,Conscientiousness
1,1,2,4,4,3,1,2,1,4,5,2,3,1,5,3,5,2,2,1,51,1,3,9.75,80,2,Neuroticism
1,2,2,3,2,2,5,2,3,5,2,1,1,1,5,4,3,2,4,1,42,2,3,9.75,80,3,Neuroticism
4,5,3,1,1,3,2,3,2,5,5,1,5,4,4,5,1,1,2,2,35,2,3,9.75,80,2,Extroversion
3,1,4,5,4,2,3,1,2,3,4,3,3,3,2,4,3,4,5,2,15,1,3,9.75,80,2,Extroversion
5,3,1,2,1,1,5,1,4,2,2,4,1,4,3,1,4,2,1,4,34,1,3,9.75,80,1,Neuroticism
3,4,1,4,2,5,3,1,3,5,3,4,1,1,1,2,5,2,1,3,39,2,3,9.75,80,1,Neuroticism
3,3,2,4,1,5,1,5,4,1,4,4,4,4,4,4,3,2,5,3,36,2,3,9.75,80,5,Conscientiousness
2,2,5,3,5,4,2,1,5,5,1,3,1,3,4,1,3,5,2,3,12,2,3,9.75,80,2,Neuroticism
1,5,1,1,2,3,1,5,3,4,2,4,1,1,5,5,5,1,1,1,15,1,3,9.75,80,1,Extroversion
4,3,4,3,1,5,5,2,2,1,4,4,4,2,2,4,3,1,5,1,65,1,3,9.75,80,4,Openness
1,1,2,2,3,4,1,3,1,1,2,4,2,3,5,4,5,5,1,2,56,2,3,9.75,80,4,Conscientiousness
2,3,4,1,4,4,1,3,3,4,5,5,3,4,4,3,5,4,1,3,32,2,3,9.75,80,4,Neuroticism
4,4,4,1,3,3,5,1,5,3,5,2,5,1,1,4,5,3,2,1,13,2,3,9.75,80,3,Neuroticism
4,4,5,1,4,5,4,2,5,1,2,5,3,5,3,4,1,5,2,5,47,1,3,9.75,80,3,Agreeableness
2,4,4,3,4,1,2,5,2,3,4,2,3,1,5,4,1,4,5,3,35,2,3,9.75,80,2,Agreeableness
5,1,1,1,4,1,2,4,5,1,3,4,5,5,4,2,4,2,3,2,21,1,3,9.75,80,4,Extroversion
4,2,2,5,1,2,4,1,1,2,4,5,1,4,2,3,1,1,1,5,47,2,3,9.75,80,5,Neuroticism
3,4,5,2,4,5,2,5,1,2,5,5,1,4,3,5,1,1,3,4,16,1,3,9.75,80,3,Openness
1,4,4,5,5,2,5,5,3,4,3,1,3,1,4,3,1,3,3,4,14,1,3,9.75,80,5,Openness
4,4,4,5,1,2,5,4,1,2,1,4,3,4,5,1,4,3,2,2,21,1,3,9.75,80,4,Openness
2,1,1,5,1,4,4,4,2,5,2,4,4,4,1,5,5,3,4,2,51,1,3,9.75,80,4,Conscientiousness
1,3,1,4,3,5,1,4,4,2,5,3,2,1,2,2,2,4,5,2,48,2,3,9.75,80,2,Neuroticism
2,1,1,3,3,2,2,3,5,5,5,5,1,5,1,2,3,2,3,2,26,2,3,9.75,80,3,Neuroticism
4,3,2,1,3,2,4,3,4,3,5,3,1,1,1,3,5,3,3,3,60,1,3,9.75,80,1,Neuroticism
4,1,4,4,5,1,3,2,4,4,5,3,4,5,3,3,2,3,4,3,68,2,3,9.75,80,5,Neuroticism
2,3,5,4,5,3,3,1,5,5,4,3,5,1,5,3,2,5,5,1,20,2,3,9.75,80,3,Neuroticism
3,1,5,5,1,4,1,5,5,4,4,2,5,4,1,5,2,3,5,1,13,2,3,9.75,80,5,Extroversion
4,4,1,3,4,5,3,3,5,4,5,1,1,1,5,2,3,1,3,4,60,1,3,9.75,80,4,Neuroticism
4,1,5,5,4,4,1,1,1,3,4,2,1,2,2,4,5,1,3,4,22,1,3,9.75,80,4,Openness
4,4,2,3,4,4,1,3,4,3,2,4,3,1,1,3,3,3,2,1,56,2,3,9.75,80,5,Neuroticism
3,5,3,4,2,2,4,1,3,2,5,2,2,1,4,4,5,5,2,4,79,1,3,9.75,80,1,Neuroticism
1,3,2,4,2,1,1,3,4,4,2,5,2,3,5,3,1,3,1,3,67,1,3,9.75,80,1,Neuroticism
4,1,4,4,1,3,3,3,2,4,1,1,5,5,5,5,2,4,4,1,35,1,3,9.75,80,4,Extroversion
3,1,2,4,2,3,1,2,2,5,5,5,5,1,5,2,2,5,1,5,33,2,3,9.75,80,2,Neuroticism
2,1,2,3,5,4,3,5,5,4,3,1,4,2,3,1,1,2,1,4,32,2,3,9.75,80,1,Agreeableness
5,4,2,2,4,3,3,3,3,3,2,1,3,3,3,4,3,5,2,3,68,1,3,9.75,80,3,Agreeableness
1,3,5,4,3,2,2,5,5,4,5,3,1,4,3,1,5,3,1,2,24,2,3,9.75,80,2,Neuroticism
4,3,2,3,2,3,5,4,1,3,3,4,2,4,1,1,5,1,3,2,71,1,3,9.75,80,3,Neuroticism
3,5,3,1,1,3,3,5,4,3,5,1,2,2,1,1,4,4,3,3,62,1,3,9.75,80,4,Conscientiousness
1,1,2,2,3,3,4,3,2,4,5,1,4,4,3,2,1,2,5,4,55,2,3,9.75,80,3,Agreeableness
3,4,2,2,4,5,5,4,1,3,4,3,1,5,4,2,2,3,1,5,42,2,3,9.75,80,3,Agreeableness
3,5,5,4,1,2,2,3,4,3,2,2,2,3,1,1,4,4,3,2,55,2,3,9.75,80,4,Conscientiousness
1,3,5,3,4,5,4,2,2,5,3,3,5,3,5,4,4,3,1,4,67,2,3,9.75,80,1,Agreeableness
5,1,5,2,5,4,5,1,2,5,2,4,2,2,5,2,1,5,4,2,21,2,3,9.75,80,3,Agreeableness
1,3,5,5,3,2,4,2,3,4,5,1,2,4,5,3,2,4,2,3,25,1,3,9.75,80,1,Extroversion
4,5,1,5,2,3,3,2,4,2,5,3,5,1,5,3,2,5,5,5,57,1,3,9.75,80,2,Conscientiousness
4,4,5,5,5,2,3,2,2,4,5,2,3,5,1,5,3,3,4,3,47,1,3,9.75,80,1,Openness
4,2,5,4,2,4,5,1,3,4,2,4,3,3,4,1,1,3,4,2,58,1,3,9.75,80,3,Openness
4,5,5,5,3,4,1,5,1,4,2,1,2,3,3,3,2,3,4,4,51,1,3,9.75,80,5,Openness
1,3,3,5,4,5,1,1,4,4,2,3,1,5,1,5,4,1,1,3,56,1,3,9.75,80,5,Neuroticism
5,2,5,1,1,5,3,2,5,1,3,2,3,1,2,4,2,5,5,3,59,1,3,9.75,80,5,Conscientiousness
2,5,3,5,1,1,2,2,2,3,2,1,3,3,2,5,2,4,4,2,56,1,3,9.75,80,3,Extroversion
1,3,2,1,3,5,2,1,1,3,3,5,1,4,3,5,4,3,2,4,46,1,3,9.75,80,4,Conscientiousness
2,1,2,3,4,4,3,5,3,4,4,2,3,4,3,1,2,3,5,3,71,1,3,9.75,80,5,Agreeableness
2,1,1,1,4,3,4,3,1,1,3,1,4,4,1,4,2,3,1,1,76,1,3,9.75,80,2,Agreeableness
2,4,4,4,4,3,5,4,4,2,3,5,4,5,3,3,2,5,5,1,58,1,3,9.75,80,4,Agreeableness
2,1,1,1,2,2,1,4,1,1,1,1,5,1,1,4,2,1,3,4,67,1,3,9.75,80,1,Agreeableness
3,3,3,2,2,4,2,4,4,2,2,1,5,1,2,2,2,1,3,3,41,2,3,9.75,80,3,Agreeableness
1,5,4,1,5,5,2,3,2,3,3,2,4,1,4,2,2,3,1,4,45,1,3,9.75,80,1,Agreeableness
1,5,5,1,5,5,1,5,1,3,1,5,4,3,5,1,5,2,2,1,32,2,3,9.75,80,5,Agreeableness
1,1,4,5,1,2,2,5,2,1,1,5,2,5,5,5,1,4,5,3,20,2,3,9.75,80,4,Extroversion
5,5,5,3,4,2,2,2,3,4,4,1,3,3,3,3,1,4,1,1,60,2,3,9.75,80,4,Openness
2,2,5,5,3,1,3,2,5,5,5,4,1,1,5,1,4,1,1,2,24,1,3,9.75,80,1,Neuroticism
1,2,5,1,3,5,4,4,1,1,5,1,1,5,1,3,2,1,1,4,25,1,3,9.75,80,5,Agreeableness
5,1,1,1,1,3,1,3,3,1,3,4,2,2,1,4,3,5,4,4,39,1,3,9.75,80,3,Conscientiousness
1,1,5,3,5,1,4,3,1,3,4,3,1,2,2,4,1,3,4,4,36,2,3,9.75,80,3,Neuroticism
2,2,2,1,1,4,3,5,3,5,4,4,5,2,2,2,3,1,1,5,13,1,3,9.75,80,5,Neuroticism
2,5,2,2,2,5,4,4,2,5,2,5,1,4,5,4,2,5,1,2,69,1,3,9.75,80,4,Agreeableness
5,1,1,2,3,5,4,4,1,3,2,4,5,3,2,3,5,4,4,3,74,1,3,9.75,80,5,Agreeableness
5,5,4,2,5,5,1,2,4,1,5,2,3,5,5,3,1,1,1,3,48,2,3,9.75,80,3,Extroversion
3,3,4,3,5,5,1,1,2,2,4,3,3,1,3,2,4,4,3,2,54,1,3,9.75,80,4,Conscientiousness
4,3,1,5,1,5,2,4,4,1,4,3,1,3,5,3,3,2,4,1,29,2,3,9.75,80,3,Neuroticism
1,4,4,3,3,5,2,5,5,2,4,4,1,5,4,2,5,1,3,2,74,1,3,9.75,80,1,Neuroticism
